year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2022,56,spotify:track:4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,Nicki Minaj,Super Freaky Girl,['Nicki Minaj']
2022,57,spotify:track:3ncmoWTwJgx63LwMTyBCXf,Hrs and Hrs,Muni Long,Hrs & Hrs,['Muni Long']
2022,58,spotify:track:0uRrG2jRR5tuifsYIJHEao,Sand in My Boots,Morgan Wallen,Sand In My Boots,['Morgan Wallen']
2022,59,spotify:track:7FlQk2gJ6TBrHHiidvdR2O,Mamiii,Becky G and Karol G,MAMIII,"['Becky G', 'KAROL G']"
2022,60,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,Knife Talk,Drake  21 Savage and Project Pat,Knife Talk (with 21 Savage ft. Project Pat),"['Drake', '21 Savage', 'Project Pat']"
2022,61,spotify:track:77oKig47u34qCCFWKMfu1e,AA,Walker Hayes,AA,['Walker Hayes']
2022,62,spotify:track:12W3pDsHMFZIPzM9MXs7Qn,Sweetest Pie,Megan Thee Stallion and Dua Lipa,Sweetest Pie,"['Megan Thee Stallion', 'Dua Lipa']"
2022,63,spotify:track:3HqcNJdZ2seoGxhn0wVNDK,Provenza,Karol G,PROVENZA,['KAROL G']
2022,64,spotify:track:5FG7Tl93LdH117jEKYl3Cm,Essence,Wizkid  Justin Bieber and Tems,Essence (feat. Tems),"['Wizkid', 'Tems']"
2022,65,spotify:track:0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,All I Want for Christmas Is You,['Mariah Carey']
2022,66,spotify:track:0QBzMgT7NIeoCYy3sJCof1,Bam Bam,Camila Cabello  Ed Sheeran,Bam Bam (feat. Ed Sheeran),"['Camila Cabello', 'Ed Sheeran']"
2022,67,spotify:track:6AqwH2Y9FJwhUE2dCSkw1u,5 Foot 9,Tyler Hubbard,5 Foot 9,['Tyler Hubbard']
2022,68,spotify:track:0W6I02J9xcqK8MtSeosEXb,Get Into It (Yuh),Doja Cat,Get Into It (Yuh),['Doja Cat']
2022,69,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,Efecto,['Bad Bunny']
2022,70,spotify:track:1TE8AAk9koG0UJco6ZAUfx,Rock and a Hard Place,Bailey Zimmerman,Rock and A Hard Place,['Bailey Zimmerman']
2022,71,spotify:track:6TpyujRefwsflWFXbmjVpj,Doin' This,Luke Combs,Doin' This,['Luke Combs']
2022,72,spotify:track:3Kkjo3cT83cw09VJyrLNwX,Oh My God,Adele,Oh My God,['Adele']
2022,73,spotify:track:6f5ExP43esnvdKPddwKXJH,Better Days,"Neiked, Mae Muller and Polo G",Better Days (NEIKED x Mae Muller x Polo G),"['NEIKED', 'Mae Muller', 'Polo G']"
2022,74,spotify:track:3D7BpZ01kLRcjTGelbu83N,Meet Me at Our Spot,The Anxiety: Willow and Tyler Cole,Meet Me At Our Spot,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']"
2022,75,spotify:track:4wH7ZoqgETaACS9BlUkvuY,Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,['Lauren Spencer Smith']
2022,76,spotify:track:3nsfB1vus2qaloUdcBZvDu,All Too Well (Taylor's Version),Taylor Swift,All Too Well (Taylor's Version),['Taylor Swift']
2022,77,spotify:track:4tYFy8ALRjIZvnvSLw5lxN,Party,Bad Bunny and Rauw Alejandro,Party,"['Bad Bunny', 'Rauw Alejandro']"
2022,78,spotify:track:1dm6z1fWB0cErMszU25dy2,Después de la Playa,Bad Bunny,Después de la Playa,['Bad Bunny']
2022,79,spotify:track:2UikqkwBv7aIvlixeVXHWt,You Should Probably Leave,Chris Stapleton,You Should Probably Leave,['Chris Stapleton']
2022,80,spotify:track:2EjXfH91m7f8HiJN1yQg97,Rockin' Around the Christmas Tree,Brenda Lee,Rockin' Around The Christmas Tree,['Brenda Lee']
2022,81,spotify:track:7qTaDOcld0VmBWXnkbUj45,Broadway Girls,Lil Durk  Morgan Wallen,Broadway Girls (feat. Morgan Wallen),"['Lil Durk', 'Morgan Wallen']"
2022,82,spotify:track:7g0Zfd5J6Hzx9M2fRUMuba,Take My Name,Parmalee,Take My Name,['Parmalee']
2022,83,spotify:track:7ohROa13QK43JBRqfCmz4P,What Happened to Virgil,Lil Durk  Gunna,What Happened To Virgil (feat. Gunna),"['Lil Durk', 'Gunna']"
